x,y,z,Temperature
0,0,0,0
0.0666667,0,0,0
0.133333,0,0,0
0.2,0,0,0
0.266667,0,0,0
0.333333,0,0,0
0.4,0,0,0
0.466667,0,0,0
0.533333,0,0,0
0.6,0,0,0
0.666667,0,0,0
0.733333,0,0,0
0.8,0,0,0
0.866667,0,0,0
0.933333,0,0,0
1,0,0,0
0,0.0666667,0,5.17739
0.0666667,0.0666667,0,5.21006
0.133333,0.0666667,0,5.30892
0.2,0.0666667,0,5.4766
0.266667,0.0666667,0,5.71777
0.333333,0.0666667,0,6.03964
0.4,0.0666667,0,6.45275
0.466667,0.0666667,0,6.97242
0.533333,0.0666667,0,7.6211
0.6,0.0666667,0,8.4326
0.666667,0.0666667,0,9.4601
0.733333,0.0666667,0,10.7925
0.8,0.0666667,0,12.5907
0.866667,0.0666667,0,15.1784
0.933333,0.0666667,0,19.2949
1,0.0666667,0,26.885
0,0.133333,0,10.2894
0.0666667,0.133333,0,10.3539
0.133333,0.133333,0,10.549
0.2,0.133333,0,10.8797
0.266667,0.133333,0,11.3549
0.333333,0.133333,0,11.988
0.4,0.133333,0,12.7989
0.466667,0.133333,0,13.8158
0.533333,0.133333,0,15.0794
0.6,0.133333,0,16.6492
0.666667,0.133333,0,18.6153
0.733333,0.133333,0,21.1191
0.8,0.133333,0,24.3918
0.866667,0.133333,0,28.828
0.933333,0.133333,0,35.1163
1,0.133333,0,44.4067
0,0.2,0,15.2725
0.0666667,0.2,0,15.3672
0.133333,0.2,0,15.6535
0.2,0.2,0,16.1383
0.266667,0.2,0,16.8339
0.333333,0.2,0,17.7587
0.4,0.2,0,18.9392
0.466667,0.2,0,20.4126
0.533333,0.2,0,22.2314
0.6,0.2,0,24.4694
0.666667,0.2,0,27.233
0.733333,0.2,0,30.6768
0.8,0.2,0,35.0293
0.866667,0.2,0,40.6256
0.933333,0.2,0,47.9354
1,0.2,0,57.5233
0,0.266667,0,20.0662
0.0666667,0.266667,0,20.1888
0.133333,0.266667,0,20.5594
0.2,0.266667,0,21.1863
0.266667,0.266667,0,22.0838
0.333333,0.266667,0,23.2736
0.4,0.266667,0,24.7864
0.466667,0.266667,0,26.6641
0.533333,0.266667,0,28.9641
0.6,0.266667,0,31.7642
0.666667,0.266667,0,35.1703
0.733333,0.266667,0,39.3259
0.8,0.266667,0,44.4231
0.866667,0.266667,0,50.7096
0.933333,0.266667,0,58.4765
1,0.266667,0,67.9956
0,0.333333,0,24.6146
0.0666667,0.333333,0,24.7625
0.133333,0.333333,0,25.2091
0.2,0.333333,0,25.9636
0.266667,0.333333,0,27.0413
0.333333,0.333333,0,28.4656
0.4,0.333333,0,30.2686
0.466667,0.333333,0,32.4933
0.533333,0.333333,0,35.1967
0.6,0.333333,0,38.4531
0.666667,0.333333,0,42.3581
0.733333,0.333333,0,47.0332
0.8,0.333333,0,52.6276
0.866667,0.333333,0,59.3131
0.933333,0.333333,0,67.2653
1,0.333333,0,76.617
0,0.4,0,28.8672
0.0666667,0.4,0,29.0374
0.133333,0.4,0,29.5511
0.2,0.4,0,30.4175
0.266667,0.4,0,31.6524
0.333333,0.4,0,33.279
0.4,0.4,0,35.329
0.466667,0.4,0,37.8438
0.533333,0.4,0,40.8764
0.6,0.4,0,44.4932
0.666667,0.4,0,48.7758
0.733333,0.4,0,53.8215
0.8,0.4,0,59.7408
0.866667,0.4,0,66.6502
0.933333,0.4,0,74.6544
1,0.4,0,83.819
0,0.466667,0,32.7794
0.0666667,0.466667,0,32.9689
0.133333,0.466667,0,33.5404
0.2,0.466667,0,34.5028
0.266667,0.466667,0,35.8716
0.333333,0.466667,0,37.669
0.4,0.466667,0,39.9246
0.466667,0.466667,0,42.6766
0.533333,0.466667,0,45.9719
