x,y,z,Temperature
0,0,0,0
0.0666667,0,0,0
0.133333,0,0,0
0.2,0,0,0
0.266667,0,0,0
0.333333,0,0,0
0.4,0,0,0
0.466667,0,0,0
0.533333,0,0,0
0.6,0,0,0
0.666667,0,0,0
0.733333,0,0,0
0.8,0,0,0
0.866667,0,0,0
0.933333,0,0,0
1,0,0,0
0,0.0666667,0,5.17722
0.0666667,0.0666667,0,5.20989
0.133333,0.0666667,0,5.30876
0.2,0.0666667,0,5.47644
0.266667,0.0666667,0,5.71762
0.333333,0.0666667,0,6.03948
0.4,0.0666667,0,6.4526
0.466667,0.0666667,0,6.97227
0.533333,0.0666667,0,7.62095
0.6,0.0666667,0,8.43246
0.666667,0.0666667,0,9.45996
0.733333,0.0666667,0,10.7923
0.8,0.0666667,0,12.5905
0.866667,0.0666667,0,15.1783
0.933333,0.0666667,0,19.2948
1,0.0666667,0,26.8849
0,0.133333,0,10.2891
0.0666667,0.133333,0,10.3536
0.133333,0.133333,0,10.5487
0.2,0.133333,0,10.8794
0.266667,0.133333,0,11.3545
0.333333,0.133333,0,11.9877
0.4,0.133333,0,12.7986
0.466667,0.133333,0,13.8155
0.533333,0.133333,0,15.0791
0.6,0.133333,0,16.6489
0.666667,0.133333,0,18.6151
0.733333,0.133333,0,21.1188
0.8,0.133333,0,24.3915
0.866667,0.133333,0,28.8278
0.933333,0.133333,0,35.116
1,0.133333,0,44.4065
0,0.2,0,15.272
0.0666667,0.2,0,15.3667
0.133333,0.2,0,15.653
0.2,0.2,0,16.1379
0.266667,0.2,0,16.8335
0.333333,0.2,0,17.7582
0.4,0.2,0,18.9387
0.466667,0.2,0,20.4122
0.533333,0.2,0,22.231
0.6,0.2,0,24.469
0.666667,0.2,0,27.2326
0.733333,0.2,0,30.6764
0.8,0.2,0,35.0289
0.866667,0.2,0,40.6252
0.933333,0.2,0,47.9351
1,0.2,0,57.523
0,0.266667,0,20.0656
0.0666667,0.266667,0,20.1882
0.133333,0.266667,0,20.5588
0.2,0.266667,0,21.1857
0.266667,0.266667,0,22.0832
0.333333,0.266667,0,23.273
0.4,0.266667,0,24.7858
0.466667,0.266667,0,26.6635
0.533333,0.266667,0,28.9636
0.6,0.266667,0,31.7637
0.666667,0.266667,0,35.1698
0.733333,0.266667,0,39.3253
0.8,0.266667,0,44.4226
0.866667,0.266667,0,50.7091
0.933333,0.266667,0,58.476
1,0.266667,0,67.9952
0,0.333333,0,24.6138
0.0666667,0.333333,0,24.7617
0.133333,0.333333,0,25.2084
0.2,0.333333,0,25.9628
0.266667,0.333333,0,27.0406
0.333333,0.333333,0,28.4649
0.4,0.333333,0,30.2679
0.466667,0.333333,0,32.4926
0.533333,0.333333,0,35.196
0.6,0.333333,0,38.4524
0.666667,0.333333,0,42.3575
0.733333,0.333333,0,47.0326
0.8,0.333333,0,52.627
0.866667,0.333333,0,59.3126
0.933333,0.333333,0,67.2647
1,0.333333,0,76.6165
0,0.4,0,28.8663
0.0666667,0.4,0,29.0365
0.133333,0.4,0,29.5502
0.2,0.4,0,30.4166
0.266667,0.4,0,31.6515
0.333333,0.4,0,33.2782
0.4,0.4,0,35.3282
0.466667,0.4,0,37.843
0.533333,0.4,0,40.8756
0.6,0.4,0,44.4924
0.666667,0.4,0,48.7751
0.733333,0.4,0,53.8207
0.8,0.4,0,59.7401
0.866667,0.4,0,66.6495
0.933333,0.4,0,74.6537
1,0.4,0,83.8184
0,0.466667,0,32.7784
0.0666667,0.466667,0,32.9679
0.133333,0.466667,0,33.5394
0.2,0.466667,0,34.5018
0.266667,0.466667,0,35.8707
0.333333,0.466667,0,37.668
0.4,0.466667,0,39.9237
0.466667,0.466667,0,42.6756
0.533333,0.466667,0,45.971
0.6,0.466667,0,49.8667
