x,y,z,Temperature
0,0,0,0
0.2,0,0,0
0.4,0,0,0
0.6,0,0,0
0.8,0,0,0
1,0,0,0
0,0.2,0,15.3156
0.2,0.2,0,16.1795
0.4,0.2,0,18.967
0.6,0.2,0,24.4134
0.8,0.2,0,34.4491
1,0.2,0,54.3981
0,0.4,0,28.9032
0.2,0.4,0,30.4355
0.4,0.4,0,35.2752
0.6,0.4,0,44.2374
0.8,0.4,0,58.9849
1,0.4,0,82.4003
0,0.6,0,39.4263
0.2,0.6,0,41.3841
0.4,0.6,0,47.4609
0.6,0.6,0,58.2759
0.8,0.6,0,74.853
1,0.6,0,98.4066
0,0.8,0,46.0338
0.2,0.8,0,48.2138
0.4,0.8,0,54.9084
0.6,0.8,0,66.5524
0.8,0.8,0,83.7446
1,0.8,0,106.962
0,1,0,48.2814
0.2,1,0,50.5289
0.4,1,0,57.4066
0.6,1,0,69.2806
0.8,1,0,86.6112
1,1,0,109.675
