x,y,z,Temperature
0,0,0,0
0.0666667,0,0,0
0.133333,0,0,0
0.2,0,0,0
0.266667,0,0,0
0.333333,0,0,0
0.4,0,0,0
0.466667,0,0,0
0.533333,0,0,0
0.6,0,0,0
0.666667,0,0,0
0.733333,0,0,0
0.8,0,0,0
0.866667,0,0,0
0.933333,0,0,0
1,0,0,0
0,0.0666667,0,5.16673
0.0666667,0.0666667,0,5.19945
0.133333,0.0666667,0,5.29838
0.2,0.0666667,0,5.46617
0.266667,0.0666667,0,5.70746
0.333333,0.0666667,0,6.02947
0.4,0.0666667,0,6.44276
0.466667,0.0666667,0,6.96262
0.533333,0.0666667,0,7.61152
0.6,0.0666667,0,8.42325
0.666667,0.0666667,0,9.45101
0.733333,0.0666667,0,10.7836
0.8,0.0666667,0,12.5821
0.866667,0.0666667,0,15.1702
0.933333,0.0666667,0,19.2871
1,0.0666667,0,26.8775
0,0.133333,0,10.2683
0.0666667,0.133333,0,10.3329
0.133333,0.133333,0,10.5281
0.2,0.133333,0,10.859
0.266667,0.133333,0,11.3344
0.333333,0.133333,0,11.9679
0.4,0.133333,0,12.7791
0.466667,0.133333,0,13.7964
0.533333,0.133333,0,15.0604
0.6,0.133333,0,16.6307
0.666667,0.133333,0,18.5973
0.733333,0.133333,0,21.1016
0.8,0.133333,0,24.3749
0.866667,0.133333,0,28.8117
0.933333,0.133333,0,35.1007
1,0.133333,0,44.3918
0,0.2,0,15.2412
0.0666667,0.2,0,15.336
0.133333,0.2,0,15.6226
0.2,0.2,0,16.1077
0.266667,0.2,0,16.8036
0.333333,0.2,0,17.7288
0.4,0.2,0,18.9098
0.466667,0.2,0,20.3838
0.533333,0.2,0,22.2032
0.6,0.2,0,24.442
0.666667,0.2,0,27.2063
0.733333,0.2,0,30.6509
0.8,0.2,0,35.0043
0.866667,0.2,0,40.6015
0.933333,0.2,0,47.9123
1,0.2,0,57.5013
0,0.266667,0,20.0252
0.0666667,0.266667,0,20.148
0.133333,0.266667,0,20.5189
0.2,0.266667,0,21.1461
0.266667,0.266667,0,22.0441
0.333333,0.266667,0,23.2345
0.4,0.266667,0,24.7479
0.466667,0.266667,0,26.6263
0.533333,0.266667,0,28.9272
0.6,0.266667,0,31.7282
0.666667,0.266667,0,35.1353
0.733333,0.266667,0,39.2919
0.8,0.266667,0,44.3903
0.866667,0.266667,0,50.678
0.933333,0.266667,0,58.4462
1,0.266667,0,67.9667
0,0.333333,0,24.5643
0.0666667,0.333333,0,24.7125
0.133333,0.333333,0,25.1594
0.2,0.333333,0,25.9143
0.266667,0.333333,0,26.9927
0.333333,0.333333,0,28.4177
0.4,0.333333,0,30.2214
0.466667,0.333333,0,32.4471
0.533333,0.333333,0,35.1515
0.6,0.333333,0,38.409
0.666667,0.333333,0,42.3152
0.733333,0.333333,0,46.9917
0.8,0.333333,0,52.5874
0.866667,0.333333,0,59.2744
0.933333,0.333333,0,67.2281
1,0.333333,0,76.5816
0,0.4,0,28.8083
0.0666667,0.4,0,28.9788
0.133333,0.4,0,29.4929
0.2,0.4,0,30.3598
0.266667,0.4,0,31.5953
0.333333,0.4,0,33.2228
0.4,0.4,0,35.2738
0.466667,0.4,0,37.7896
0.533333,0.4,0,40.8234
0.6,0.4,0,44.4415
0.666667,0.4,0,48.7256
0.733333,0.4,0,53.7727
0.8,0.4,0,59.6937
0.866667,0.4,0,66.6048
0.933333,0.4,0,74.6109
1,0.4,0,83.7774
0,0.466667,0,32.7126
0.0666667,0.466667,0,32.9024
0.133333,0.466667,0,33.4743
0.2,0.466667,0,34.4374
0.266667,0.466667,0,35.8069
0.333333,0.466667,0,37.6052
0.4,0.466667,0,39.8619
0.466667,0.466667,0,42.6151
0.533333,0.466667,0,45.9118
