x,y,z,Temperature
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,0,0
0.6,0,0,0
0.7,0,0,0
0.8,0,0,0
0.9,0,0,0
1,0,0,0
0,0.1,0,7.74953
0.1,0.1,0,7.85953
0.2,0.1,0,8.19598
0.3,0.1,0,8.77967
0.4,0.1,0,9.65049
0.5,0.1,0,10.8782
0.6,0.1,0,12.5855
0.7,0.1,0,15.0009
0.8,0.1,0,18.5913
0.9,0.1,0,24.4337
1,0.1,0,35.3815
0,0.2,0,15.2791
0.1,0.2,0,15.4926
0.2,0.2,0,16.1447
0.3,0.2,0,17.2722
0.4,0.2,0,18.9441
0.5,0.2,0,21.2768
0.6,0.2,0,24.4629
0.7,0.2,0,28.8269
0.8,0.2,0,34.9304
0.9,0.2,0,43.7619
1,0.2,0,56.9762
0,0.3,0,22.3816
0.1,0.3,0,22.6871
0.2,0.3,0,23.6182
0.3,0.3,0,25.2203
0.4,0.3,0,27.5769
0.5,0.3,0,30.8219
0.6,0.3,0,35.1626
0.7,0.3,0,40.9132
0.8,0.3,0,48.5417
0.9,0.3,0,58.7074
1,0.3,0,72.1964
0,0.4,0,28.873
0.1,0.4,0,29.256
0.2,0.4,0,30.4206
0.3,0.4,0,32.4141
0.4,0.4,0,35.3211
0.5,0.4,0,39.2715
0.6,0.4,0,44.4523
0.7,0.4,0,51.1216
0.8,0.4,0,59.6158
0.9,0.4,0,70.3297
1,0.4,0,83.6205
0,0.5,0,34.5983
0.1,0.5,0,35.0435
0.2,0.5,0,36.3939
0.3,0.5,0,38.6943
0.4,0.5,0,42.022
0.5,0.5,0,46.4906
0.6,0.5,0,52.2536
0.7,0.5,0,59.5051
0.8,0.5,0,68.4703
0.9,0.5,0,79.3748
1,0.5,0,92.3759
0,0.6,0,39.4331
0.1,0.6,0,39.9259
0.2,0.6,0,41.4174
0.3,0.6,0,43.9472
0.4,0.6,0,47.582
0.5,0.6,0,52.4153
0.6,0.6,0,58.5665
0.7,0.6,0,66.1748
0.8,0.6,0,75.3855
0.9,0.6,0,86.3235
1,0.6,0,99.0503
0,0.7,0,43.2823
0.1,0.7,0,43.8095
0.2,0.7,0,45.4025
0.3,0.7,0,48.0952
0.4,0.7,0,51.9434
0.5,0.7,0,57.0221
0.6,0.7,0,63.4223
0.7,0.7,0,71.242
0.8,0.7,0,80.5736
0.9,0.7,0,91.4832
1,0.7,0,103.985
0,0.8,0,46.0771
0.1,0.8,0,46.6273
0.2,0.8,0,48.2879
0.3,0.8,0,51.0879
0.4,0.8,0,55.0741
0.5,0.8,0,60.3076
0.6,0.8,0,66.8585
0.7,0.8,0,74.7973
0.8,0.8,0,84.1837
0.9,0.8,0,95.0505
1,0.8,0,107.388
0,0.9,0,47.7715
0.1,0.9,0,48.3348
0.2,0.9,0,50.0338
0.3,0.9,0,52.8944
0.4,0.9,0,56.9576
0.5,0.9,0,62.2758
0.6,0.9,0,68.9066
0.7,0.9,0,76.9052
0.8,0.9,0,86.3133
0.9,0.9,0,97.147
1,0.9,0,109.385
0,1,0,48.3391
0.1,1,0,48.9067
0.2,1,0,50.6182
0.3,1,0,53.4983
0.4,1,0,57.5862
0.5,1,0,62.9312
0.6,1,0,69.587
0.7,1,0,77.6037
0.8,1,0,87.0173
0.9,1,0,97.8388
1,1,0,110.044
