x,y,z,Temperature
0,0,0,0
0.2,0,0,0
0.4,0,0,0
0.6,0,0,0
0.8,0,0,0
1,0,0,0
0,0.2,0,15.3156
0.2,0.2,0,16.1796
0.4,0.2,0,18.9671
0.6,0.2,0,24.4134
0.8,0.2,0,34.4491
1,0.2,0,54.3981
0,0.4,0,28.9033
0.2,0.4,0,30.4356
0.4,0.4,0,35.2753
0.6,0.4,0,44.2374
0.8,0.4,0,58.985
1,0.4,0,82.4004
0,0.6,0,39.4265
0.2,0.6,0,41.3843
0.4,0.6,0,47.461
0.6,0.6,0,58.276
0.8,0.6,0,74.8531
1,0.6,0,98.4067
0,0.8,0,46.034
0.2,0.8,0,48.214
0.4,0.8,0,54.9086
0.6,0.8,0,66.5525
0.8,0.8,0,83.7447
1,0.8,0,106.962
0,1,0,48.2815
0.2,1,0,50.529
0.4,1,0,57.4067
0.6,1,0,69.2808
0.8,1,0,86.6113
1,1,0,109.675
